geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
RR2	39.4113889	39.4113889	-76.8130556	-76.8130556
SL1	39.360495	39.360495	-76.745558	-76.745558
SL2	39.373866	39.373866	-76.791005	-76.791005
HH	39.389581	39.389581	-76.779703	-76.779703
HLB	39.1027778	39.1027778	-76.791111	-76.791111
GF5	39.39121	39.39121	-76.765326	-76.765326
JBHH	39.3993	39.3993	-76.52	-76.52
SODDIE	40.047778	40.047778	-105.570833	-105.570833
ALBION	40.04287468	40.04287468	-105.592296	-105.592296
GREEN1	40.049746	40.049746	-105.605309	-105.605309
GREEN4	40.055742	40.055742	-105.617065	-105.617065
GREEN5	40.05367068	40.05367068	-105.6279131	-105.6279131
ALBION_INLET	40.047178	40.047178	-105.607123	-105.607123
MARTINELLI	40.05060202	40.05060202	-105.595805	-105.595805
NAVAJO	40.05195303	40.05195303	-105.6367	-105.6367
SADDLE_007	40.05485646	40.05485646	-105.5901358	-105.5901358
SADDLE	40.04903177	40.04903177	-105.5923174	-105.5923174
FLUME	40.01368597	40.01368597	-105.5578493	-105.5578493
ROCK_GLACIER	40.05213501	40.05213501	-105.6289841	-105.6289841
como	40.03125646	40.03125646	-105.53701	-105.53701
AB00	34.40505027	34.40505027	-119.74021	-119.74021
AT07	34.43226	34.43226	-119.78414	-119.78414
BC02	34.43854	34.43854	-119.90563	-119.90563
DV01	34.41761	34.41761	-119.87406	-119.87406
GV01	34.4855	34.4855	-120.22917	-120.22917
HO00	34.4752858	34.4752858	-120.14122	-120.14122
MC00	34.41307303	34.41307303	-119.69499	-119.69499
MC06	34.44072	34.44072	-119.71244	-119.71244
ON02	34.472	34.472	-120.28885	-120.28885
RG01	34.46573164	34.46573164	-120.06932	-120.06932
RS02	34.45761111	34.45761111	-119.69222	-119.69222
SP02	34.44861	34.44861	-119.84028	-119.84028
FK00	34.40164787	34.40164787	-119.52145	-119.52145
TE03	34.43055	34.43055	-119.85762	-119.85762
SM04	34.41898512	34.41898512	-119.52701	-119.52701
CP00	34.3935	34.3935	-119.5124	-119.5124
TO02	34.440614	34.440614	-119.917915	-119.917915
SM01	34.40479765	34.40479765	-119.52869	-119.52869
RN01	34.3773	34.3773	-119.47794	-119.47794
C2	65.159188	65.159188	-147.607454	-147.607454
C3	65.144853	65.144853	-147.574368	-147.574368
CB	65.15	65.15	-147.56	-147.56
C4	65.162726	65.162726	-147.50057	-147.50057
P6	65.184791	65.184791	-147.388939	-147.388939
PJ	65.15154566	65.15154566	-147.4841681	-147.4841681
CJ	65.15147902	65.15147902	-147.4856181	-147.4856181
PC	65.1510123	65.1510123	-147.482385	-147.482385
boston_creek	65.23	65.23	-147.12	-147.12
bohner_b5	-77.696302	-77.696302	162.558285	162.558285
adams_weir	-78.1316680908203	-78.1316680908203	163.75	163.75
aiken_f5	-77.602516	-77.602516	163.2719421	163.2719421
canada_f1	-77.613655	-77.613655	163.0547333	163.0547333
common_c1	-77.563332	-77.563332	163.3808289	163.3808289
crescent_f8	-77.619064	-77.619064	163.1844635	163.1844635
delta_f10	-77.624619	-77.624619	163.1084442	163.1084442
green_f9	-77.624099731445	-77.624099731445	163.059753417969	163.059753417969
harnish_f11	-77.621246337891	-77.621246337891	163.269515991211	163.269515991211
harnish_f7	-77.608329772949	-77.608329772949	163.232772827148	163.232772827148
lostseal_f3	-77.595268	-77.595268	163.2444	163.2444
onyx_vnda	-77.52343	-77.52343	161.6966248	161.6966248
onyx_lwright	-77.444534	-77.444534	162.6535339	162.6535339
vguerard_f6	-77.608200073242	-77.608200073242	163.253997802734	163.253997802734
house_h2	-77.6429824829102	-77.6429824829102	162.741317749023	162.741317749023
huey_f2	-77.6048965454102	-77.6048965454102	163.127410888672	163.127410888672
santafe_b2	-77.7230529785156	-77.7230529785156	162.266662597656	162.266662597656
priscu_b1	-77.6999969482422	-77.6999969482422	162.534729003906	162.534729003906
lawson_b3	-77.7227783203125	-77.7227783203125	162.268051147461	162.268051147461
andrsn_h1	-77.622772	-77.622772	162.906357	162.906357
andrws_mouth	-77.620834	-77.620834	163.044449	163.044449
bartlt_mouth	-77.720833	-77.720833	162.416672	162.416672
bohnr_lower	-77.697334	-77.697334	162.56192	162.56192
bohnr_mouth	-77.69722	-77.69722	162.541672	162.541672
lyons_b4	-77.727776	-77.727776	162.274994	162.274994
mariah_mouth	-77.623611	-77.623611	163.047226	163.047226
mason_mouth	-77.729164	-77.729164	162.274994	162.274994
mckay_mouth	-77.644722	-77.644722	162.747223	162.747223
mcknight_mouth	-77.599724	-77.599724	163.264725	163.264725
red_bfalls	-77.723335	-77.723335	162.268051	162.268051
sharp_mouth	-77.722221	-77.722221	162.247223	162.247223
vincent_mouth	-77.720276	-77.720276	162.425003	162.425003
vguerard_upper	-77.634384	-77.634384	163.306305	163.306305
wharton_mouth	-77.645836	-77.645836	162.747223	162.747223
bowles_mouth	-77.622223	-77.622223	163.050003	163.050003
lyons_trib	-77.720001	-77.720001	162.270004	162.270004
garwood_flats	-78.020836	-78.020836	164.016663	164.016663
garwood_blwconf	-78.019447	-78.019447	164.066666	164.066666
delta_upper	-77.65303	-77.65303	163.098679	163.098679
garwood_blwcol	-78.022008	-78.022008	163.915999	163.915999
garwood_blwglcr	-78.029167	-78.029167	164.133331	164.133331
lizotte_mouth	-77.70417	-77.70417	162.483337	162.483337
miers_blwglcr	-78.09611	-78.09611	163.752338	163.752338
miers_m2	-78.099605	-78.099605	163.918368	163.918368
vguerard_lower	-77.619476	-77.619476	163.287964	163.287964
worm_altran	-77.725981	-77.725981	162.315509	162.315509
fish_brook	42.65831	42.65831	-71.004821	-71.004821
cart_creek	42.7692	42.7692	-70.9165	-70.9165
saw_mill_brook	42.523601531982	42.523601531982	-71.184997558594	-71.184997558594
bear_meadow	42.5495	42.5495	-71.0909	-71.0909
upper_ipswich	42.5625662	42.5625662	-71.1093305	-71.1093305
ipswich_dam	42.677543640137	42.677543640137	-70.837684631348	-70.837684631348
parker_dam	42.750007629395	42.750007629395	-70.929214477539	-70.929214477539
mill_river	42.739360809326	42.739360809326	-70.900192260742	-70.900192260742
egypt_river	42.698162078857	42.698162078857	-70.868286132812	-70.868286132812
little_river	42.800399780273	42.800399780273	-70.883277893066	-70.883277893066
muddy_run	42.702541351318	42.702541351318	-70.853706359863	-70.853706359863
Dimple_Inlet_Main	68.9505	68.9505	-150.198	-150.198
Dimple_Outlet_Main	68.9574	68.9574	-150.2	-150.2
I-Minus_2_IMP	68.5483	68.5483	-149.522	-149.522
I-Minus_2_REF	68.548	68.548	-149.521	-149.521
I-Minus_2_TK_High	68.5443	68.5443	-149.522	-149.522
I-Minus_2_TK_Low	68.5479	68.5479	-149.522	-149.522
Imnavait_Creek_A	68.6166	68.6166	-149.318	-149.318
Imnavait_Creek_AA	68.6177	68.6177	-149.318	-149.318
Imnavait_Creek_B	68.6206	68.6206	-149.319	-149.319
Imnavait_Creek_C	68.6229	68.6229	-149.321	-149.321
Imnavait_Creek_D	68.6253	68.6253	-149.325	-149.325
Imnavait_Creek_E	68.642	68.642	-149.343	-149.343
Kuparuk_River_-0.1	68.639236	68.639236	-149.393711	-149.393711
Kuparuk_River_-0.177	68.6381	68.6381	-149.392	-149.392
Kuparuk_River_-0.3	68.6384	68.6384	-149.389	-149.389
Kuparuk_River_-0.47	68.6374	68.6374	-149.387	-149.387
Kuparuk_River_-0.7	68.6369	68.6369	-149.384	-149.384
Kuparuk_River_0	68.6393	68.6393	-149.3936	-149.3936
Kuparuk_River_0.3	68.6407	68.6407	-149.401	-149.401
Kuparuk_River_0.56	68.6415	68.6415	-149.4012	-149.4012
Kuparuk_River_0.74	68.644001	68.644001	-149.402332	-149.402332
Kuparuk_River_1	68.6447	68.6447	-149.405	-149.405
Kuparuk_River_1.39	68.6463	68.6463	-149.41	-149.41
Kuparuk_River_1.5	68.64756	68.64756	-149.411706	-149.411706
Kuparuk_River_1.8	68.6478	68.6478	-149.416	-149.416
Kuparuk_River_2	68.6495	68.6495	-149.416	-149.416
Kuparuk_River_2.5	68.6523	68.6523	-149.415	-149.415
Kuparuk_River_3	68.6537	68.6537	-149.421	-149.421
Kuparuk_River_4	68.6588	68.6588	-149.424	-149.424
Kuparuk_River_4.1	68.659528	68.659528	-149.425365	-149.425365
North_River_Main	69.0553	69.0553	-150.399	-150.399
Oksrukuyik_Creek_-0.1	68.6715	68.6715	-149.128	-149.128
Oksrukuyik_Creek_-0.3	68.6714	68.6714	-149.131	-149.131
Oksrukuyik_Creek_-0.7	68.671	68.671	-149.138	-149.138
Oksrukuyik_Creek_-1.2	68.6693	68.6693	-149.146	-149.146
Oksrukuyik_Creek_0.23	68.674104	68.674104	-149.122683	-149.122683
Oksrukuyik_Creek_0.48	68.674851	68.674851	-149.122057	-149.122057
Oksrukuyik_Creek_1.06	68.6782	68.6782	-149.117129	-149.117129
Oksrukuyik_Creek_1.37	68.6798	68.6798	-149.114	-149.114
Oksrukuyik_Creek_1.7	68.682117	68.682117	-149.112195	-149.112195
Oksrukuyik_Creek_2.5	68.685997009277	68.685997009277	-149.098999023438	-149.098999023438
Oksrukuyik_Creek_2.7	68.686	68.686	-149.099	-149.099
Roche_Moutonnee_Creek_Main	68.3737	68.3737	-149.309	-149.309
South_River_Main	68.9975	68.9975	-150.308	-150.308
Toolik_Inlet_Main	68.6256	68.6256	-149.595	-149.595
Toolik_River_IMP	68.6955	68.6955	-149.208	-149.208
Toolik_River_REF	68.6957	68.6957	-149.205	-149.205
Toolik_River_TK_Above	68.6907	68.6907	-149.208	-149.208
Toolik_River_TK_Low	68.6938	68.6938	-149.204	-149.204
Toolik_River_TK_Mid	68.6922	68.6922	-149.207	-149.207
Trevor_Creek_Main	68.2824995	68.2824995	-149.3700461	-149.3700461
VTK_IMP_Main	68.961	68.961	-150.701	-150.701
VTK_REF_Main	68.9354	68.9354	-150.678	-150.678
GGL	40.012989	40.012989	-105.4585063	-105.4585063
GGU	40.0174256	40.0174256	-105.4751912	-105.4751912
BC_SW_6	40.014639	40.014639	-105.322861	-105.322861
BC_SW_2	40.003806	40.003806	-105.358397	-105.358397
BC_SW_4	40.006425	40.006425	-105.330453	-105.330453
BC_SW_12	39.990144	39.990144	-105.422908	-105.422908
BC_SW_14	39.98245	39.98245	-105.445781	-105.445781
BC_SW_17	39.972231	39.972231	-105.466014	-105.466014
BC_SW_18	39.967183	39.967183	-105.479797	-105.479797
BC_SW_20	39.961639	39.961639	-105.505789	-105.505789
BT_SW_0	40.007136	40.007136	-105.334322	-105.334322
GGU_SPW1	40.019453	40.019453	-105.476139	-105.476139
GGU_SPW2	40.019453	40.019453	-105.474922	-105.474922
RedondoMeadow	35.8546	35.8546	-106.5941	-106.5941
HistoryGrove	35.8759	35.8759	-106.5125	-106.5125
UpperJaramillo	35.9092	35.9092	-106.5304	-106.5304
LowerJaramillo	35.8929	35.8929	-106.4958	-106.4958
UpperLaJara	35.87033	35.87033	-106.527	-106.527
LowerLaJara	35.8667	35.8667	-106.5235	-106.5235
LowerRedondo	35.8663	35.8663	-106.5978	-106.5978
MC_ FLUME	35.88083	35.88083	-106.53575	-106.53575
MarshallGulch	32.427351	32.427351	-110.757857	-110.757857
Bigelow	32.4152	32.4152	-110.7243	-110.7243
OracleRidge	32.4494	32.4494	-110.7399	-110.7399
UpperRedondo	35.8929	35.8929	-106.577	-106.577
FLUME_MCZOB	35.88083	35.88083	-106.536	-106.536
Tyger_River_hwy49	34.66616	34.66616	-81.7393	-81.7393
Isaacs_Creek_Bombing_Rang	34.65018	34.65018	-81.7376	-81.7376
