variable_code,variable_name,unit,variable_type,variable_subtype,valence,flux_convertible
geol_class_SS,Geologic Class Siliciclasstic Sedimentary Rock,%,ws_char,Lithology,NA,0
geol_class_SU,Geologic Class Unconcolidated Sediments,%,ws_char,Lithology,NA,0
geol_class_VA,Geologic Class Acid Volcanic Rocks,%,ws_char,Lithology,NA,0
geol_class_VB,Geologic Class Basic Volvanic Rocks,%,ws_char,Lithology,NA,0
geol_class_VI,Geologic Class Intermediate Volcanic Rock,%,ws_char,Lithology,NA,0
geol_class_WB,Geologic Class Water Bodies,%,ws_char,Lithology,NA,0
H,Hydrogen,mg/L,chem_discrete,Cations,1,1
HCO3,Bicarbonate,mg/L,chem_discrete,Anions,3,1
hd_bfi_mean,Mean Baseflow Index,%,ws_char,Hydrology,NA,0
hd_bfi_sd,Baseflow Index Standard Deviation,%,ws_char,Hydrology,NA,0
Hf,Hafnium,mg/L,chem_discrete,Other,NA,1
Hg,Mercury,mg/L,chem_discrete,Other,NA,1
Ho,Holmium,mg/L,chem_discrete,Cations,NA,1
I,Iodine,mg/L,chem_discrete,Other,NA,1
ionBalance,Ion Balance,ueq/L,chem_mix,Other,NA,0
ionError,Ion Error,%,chem_mix,Other,NA,0
Ir,Iridium,mg/L,chem_discrete,Other,NA,1
K,Potassium,mg/L,chem_discrete,Cations,1,1
La,Lanthanum,mg/L,chem_discrete,Cations,3,1
lg_lncd_lichens,Lichens,%,ws_char,NLCD,NA,0
lg_nlcd_1992_barren,Bare Rock/Sand/Clay (1992),%,ws_char,NLCD,NA,0
lg_nlcd_1992_barren_tran,Transitional Barren (1992),%,ws_char,NLCD,NA,0
lg_nlcd_1992_commercial,Commercial/Industrial/Transportation (1992),%,ws_char,NLCD,NA,0
lg_nlcd_1992_fallow,Fallow (1992),%,ws_char,NLCD,NA,0
lg_nlcd_1992_forest_dec,Deciduous Forest (1992),%,ws_char,NLCD,NA,0
lg_nlcd_1992_forest_evr,Evergreen Forest (1992),%,ws_char,NLCD,NA,0
lg_nlcd_1992_forest_mix,Mixed Forest (1992),%,ws_char,NLCD,NA,0
lg_nlcd_1992_grass,Grasswland/Herbaceous (1992),%,ws_char,NLCD,NA,0
lg_nlcd_1992_ice_snow,Perennial Ice/Snow (1992),%,ws_char,NLCD,NA,0
lg_nlcd_1992_mines,Quarries/Strip Minds/Gravel Pits (1992),%,ws_char,NLCD,NA,0
lg_nlcd_1992_orchards,Orchards/Vineyards/Other (1992),%,ws_char,NLCD,NA,0
lg_nlcd_1992_pasture,Pasture/Hay (1992),%,ws_char,NLCD,NA,0
lg_nlcd_1992_res_hi,High Intensity Residential (1992),%,ws_char,NLCD,NA,0
lg_nlcd_1992_res_low,Low intensity Residential (1992),%,ws_char,NLCD,NA,0
lg_nlcd_1992_row_crop,Row Crops (1992),%,ws_char,NLCD,NA,0
lg_nlcd_1992_shrub,Shrubland (1992),%,ws_char,NLCD,NA,0
lg_nlcd_1992_small_grains,Small Grains (1992),%,ws_char,NLCD,NA,0
lg_nlcd_1992_urban_grass,Urban/Recreational Grasses (1992),%,ws_char,NLCD,NA,0
lg_nlcd_1992_water,Open Water (1992),%,ws_char,NLCD,NA,0
lg_nlcd_1992_wetland_herb,Emergent Herbaceous Wetland (1992),%,ws_char,NLCD,NA,0
lg_nlcd_1992_wetland_wood,Woody Wetland (1992),%,ws_char,NLCD,NA,0
lg_nlcd_barren,Barren Land,%,ws_char,NLCD,NA,0
lg_nlcd_crop,Cultivated Crops,%,ws_char,NLCD,NA,0
lg_nlcd_dev_hi,"Developed, High Intensity",%,ws_char,NLCD,NA,0
lg_nlcd_dev_low,"Developed, Low Intensity",%,ws_char,NLCD,NA,0
lg_nlcd_dev_med,"Developed, Medium Intensity",%,ws_char,NLCD,NA,0
lg_nlcd_dev_open,"Developed, Open Space",%,ws_char,NLCD,NA,0
lg_nlcd_forest_dec,Deciduous Forest,%,ws_char,NLCD,NA,0
lg_nlcd_forest_evr,Evergreen Forest,%,ws_char,NLCD,NA,0
lg_nlcd_forest_mix,Mixed Forest,%,ws_char,NLCD,NA,0
lg_nlcd_grass,Grassland/Herbaceous,%,ws_char,NLCD,NA,0
lg_nlcd_ice_snow,Perennial Ice/Snow,%,ws_char,NLCD,NA,0
lg_nlcd_moss,Moss,%,ws_char,NLCD,NA,0
lg_nlcd_pasture,Pasture/Hay,%,ws_char,NLCD,NA,0
lg_nlcd_sedge,Sedge/Herbaceous,%,ws_char,NLCD,NA,0
lg_nlcd_shrub,Shrub/Scrub,%,ws_char,NLCD,NA,0
lg_nlcd_shrub_dwr,Dwarf Scrub,%,ws_char,NLCD,NA,0
lg_nlcd_water,Open Water,%,ws_char,NLCD,NA,0
lg_nlcd_wetland_herb,Emergent Herbaceous Wetland,%,ws_char,NLCD,NA,0
lg_nlcd_wetland_wood,Woody Wetland,%,ws_char,NLCD,NA,0
Li,Lithium,mg/L,chem_discrete,Cations,1,1
Lu,Lutetium,mg/L,chem_discrete,Cations,NA,1
MF_C,Moss: Fontinalis: Carbon,%,bio,Other,NA,0
MF_N,Moss: Fontinalis: Nitrogen,%,bio,Other,NA,0
MF_P,Moss: Fontinalis: Phosphorus,%,bio,Other,NA,0
Mg,Magnesium,mg/L,chem_discrete,Cations,2,1
MH_Al,Moss: Hygrohypnum: Aluminum,%,bio,Other,NA,0
MH_B,Moss: Hygrohypnum: Boron,%,bio,Other,NA,0
MH_C,Moss: Hygrohypnum: Carbon,%,bio,Other,NA,0
MH_Ca,Moss: Hygrohypnum: Calcium,%,bio,Other,NA,0
MH_Cu,Moss: Hygrohypnum: Copper,%,bio,Other,NA,0
MH_Fe,Moss: Hygrohypnum: Iron,%,bio,Other,NA,0
MH_K,Moss: Hygrohypnum: Potassium,%,bio,Other,NA,0
MH_Mg,Moss: Hygrohypnum: Magnesium,%,bio,Other,NA,0
MH_Mn,Moss: Hygrohypnum: Manganese,%,bio,Other,NA,0
MH_N,Moss: Hygrohypnum: Nitrogen,%,bio,Other,NA,0
MH_Na,Moss: Hygrohypnum: Sodium,%,bio,Other,NA,0
MH_P,Moss: Hygrohypnum: Phosphorus,%,bio,Other,NA,0
MH_S,Moss: Hygrohypnum: Sulfur,%,bio,Other,NA,0
MH_Zn,Moss: Hygrohypnum: Zinc,%,bio,Other,NA,0
ML_Al,Moss: Lemanea: Aluminum,%,bio,Other,NA,0
ML_B,Moss: Lemanea: Boron,%,bio,Other,NA,0
ML_C,Moss: Lemanea: Carbon,%,bio,Other,NA,0
ML_Ca,Moss: Lemanea: Calcium,%,bio,Other,NA,0
ML_Cu,Moss: Lemanea: Copper,%,bio,Other,NA,0
ML_Fe,Moss: Lemanea: Iron,%,bio,Other,NA,0
ML_K,Moss: Lemanea: Potassium,%,bio,Other,NA,0
ML_Mg,Moss: Lemanea: Magnesium,%,bio,Other,NA,0
ML_Mn,Moss: Lemanea: Manganese,%,bio,Other,NA,0
ML_N,Moss: Lemanea: Nitrogen,%,bio,Other,NA,0
ML_Na,Moss: Lemanea: Sodium,%,bio,Other,NA,0
ML_P,Moss: Lemanea: Phosphorus,%,bio,Other,NA,0
ML_S,Moss: Lemanea: Sulfur,%,bio,Other,NA,0
ML_Zn,Moss: Lemanea: Zinc,%,bio,Other,NA,0
MLW_Al,Moss: Liverwort: Aluminum,%,bio,Other,NA,0
MLW_B,Moss: Liverwort: Boron,%,bio,Other,NA,0
MLW_C,Moss: Liverwort: Carbon,%,bio,Other,NA,0
MLW_Ca,Moss: Liverwort: Calcium,%,bio,Other,NA,0
MLW_Cu,Moss: Liverwort: Copper,%,bio,Other,NA,0
MLW_Fe,Moss: Liverwort: Iron,%,bio,Other,NA,0
MLW_K,Moss: Liverwort: Potassium,%,bio,Other,NA,0
MLW_Mg,Moss: Liverwort: Magnesium,%,bio,Other,NA,0
MLW_Mn,Moss: Liverwort: Manganese,%,bio,Other,NA,0
MLW_N,Moss: Liverwort: Nitrogen,%,bio,Other,NA,0
MLW_Na,Moss: Liverwort: Sodium,%,bio,Other,NA,0
MLW_P,Moss: Liverwort: Phosphorus,%,bio,Other,NA,0
MLW_S,Moss: Liverwort: Sulfur,%,bio,Other,NA,0
