prodcode,prodname,retrieve_status,munge_status,derive_status,precursor_of,notes,components
1362,stream_chemistry,ready,ready,NA,stream_flux__ms003,Oksrukuyik  Creek,1996_Oksrukuyik_Temp_Q_csv
1365,stream_chemistry,ready,ready,NA,stream_flux__ms003,Oksrukuyik  Creek,1997_Oksrukuyik_Temp_Q_csv
1368,stream_chemistry,ready,ready,NA,stream_flux__ms003,Oksrukuyik  Creek,1998_Oksrukuyik_Temp_Q_csv
1372,stream_chemistry,ready,ready,NA,stream_flux__ms003,Oksrukuyik  Creek,1999_Oksrukuyik_Temp_Q_csv
1318,stream_chemistry,ready,ready,NA,stream_flux__ms003,Oksrukuyik  Creek,2000_Oksrukuyik_Temp_Q_csv
1322,stream_chemistry,ready,ready,NA,stream_flux__ms003,Oksrukuyik  Creek,2001_Oksrukuyik_Temp_Q_csv
1326,stream_chemistry,ready,ready,NA,stream_flux__ms003,Oksrukuyik  Creek,2002_Oksrukuyik_Temp_Q_csv
1328,stream_chemistry,ready,ready,NA,stream_flux__ms003,Oksrukuyik  Creek,2003_Oksrukuyik_Temp_Q_csv
10040,stream_chemistry,ready,ready,NA,stream_flux__ms003,Oksrukuyik  Creek,2004_Oksrukuyik_Temp_Q_csv
10043,stream_chemistry,ready,ready,NA,stream_flux__ms003,Oksrukuyik  Creek,2005_Oksrukuyik_Temp_Q_csv
10045,stream_chemistry,ready,ready,NA,stream_flux__ms003,Oksrukuyik  Creek,2006_Oksrukuyik_Temp_Q_csv
10047,stream_chemistry,ready,ready,NA,stream_flux__ms003,Oksrukuyik  Creek,2007_Oksrukuyik_Temp_Q_csv
10049,stream_chemistry,ready,ready,NA,stream_flux__ms003,Oksrukuyik  Creek,2008_Oksrukuyik_Temp_Q_csv
10395,stream_chemistry,ready,ready,NA,stream_flux__ms003,Oksrukuyik  Creek,2009_Oksrukuyik_Temp_Q_csv
10396,stream_chemistry,ready,ready,NA,stream_flux__ms003,Oksrukuyik  Creek,2010_Oksrukuyik_Temp_Q_csv
10510,stream_chemistry,ready,ready,NA,stream_flux__ms003,Oksrukuyik  Creek,2011_Oksrukuyik_Temp_Q_csv
10511,stream_chemistry,ready,ready,NA,stream_flux__ms003,Oksrukuyik  Creek,2012_Oksrukuyik_Temp_Q_csv
10303,stream_chemistry,ready,ready,NA,stream_flux__ms003,NA,1978-2017_LTER_Streams_Chemistry_v6_csv
1489,precipitation,ready,ready,NA,NA,NA,1988_currentTFSDaily_csv
20120,stream_chemistry,ready,ready,NA,NA,NA,2015-2019_LTER_Streams_Roche_and_Trevor_Discharge_csv
20120,discharge,ready,ready,NA,NA,NA,2015-2019_LTER_Streams_Roche_and_Trevor_Discharge_csv
1593,discharge,ready,ready,NA,NA,NA,1991_Toolik_Inlet_Kling_csv
1593,stream_chemistry,ready,ready,NA,NA,NA,1991_Toolik_Inlet_Kling_csv
1594,discharge,ready,ready,NA,NA,NA,1992_Toolik_Inlet_Kling_csv
1594,stream_chemistry,ready,ready,NA,NA,NA,1992_Toolik_Inlet_Kling_csv
1595,discharge,ready,ready,NA,NA,NA,1993_Toolik_Inlet_Kling_csv
1595,stream_chemistry,ready,ready,NA,NA,NA,1993_Toolik_Inlet_Kling_csv
